L,a,b,label,name,hex
75.4066,-11.9609,36.7384,RAL 1000,Beige verde,#BEBD7F
82.2908,-18.2078,23.3315,RAL 1000,Beige verde,#BEBD7F
93.5319,-6.367,33.8334,RAL 1000,Beige verde,#BEBD7F
90.7477,-8.6976,37.2605,RAL 1000,Beige verde,#BEBD7F
76.2655,-7.436,35.1237,RAL 1000,Beige verde,#BEBD7F
73.3856,-6.8104,32.6997,RAL 1000,Beige verde,#BEBD7F
88.6221,-6.7592,31.4981,RAL 1000,Beige verde,#BEBD7F
65.0013,-3.2996,35.0458,RAL 1000,Beige verde,#BEBD7F
76.6731,-16.1474,27.9484,RAL 1000,Beige verde,#BEBD7F
76.6017,-6.2909,36.7788,RAL 1000,Beige verde,#BEBD7F
86.7797,-15.13,27.659,RAL 1000,Beige verde,#BEBD7F
64.5811,-6.4211,38.9251,RAL 1000,Beige verde,#BEBD7F
60.5407,-17.5618,23.5784,RAL 1000,Beige verde,#BEBD7F
59.2264,-5.2658,37.3985,RAL 1000,Beige verde,#BEBD7F
62.6052,-10.851,29.3974,RAL 1000,Beige verde,#BEBD7F
72.1,-8.0063,23.1864,RAL 1000,Beige verde,#BEBD7F
75.4377,-7.0108,35.9315,RAL 1000,Beige verde,#BEBD7F
95.421,-13.7451,29.8829,RAL 1000,Beige verde,#BEBD7F
83.4959,-12.1248,25.0065,RAL 1000,Beige verde,#BEBD7F
72.6517,-9.7948,47.0907,RAL 1000,Beige verde,#BEBD7F
71.7874,-13.4396,34.5349,RAL 1000,Beige verde,#BEBD7F
74.0368,-6.9832,38.6356,RAL 1000,Beige verde,#BEBD7F
71.4069,-10.5405,36.8366,RAL 1000,Beige verde,#BEBD7F
76.2849,-17.8075,27.0391,RAL 1000,Beige verde,#BEBD7F
77.2964,-5.9311,34.1195,RAL 1000,Beige verde,#BEBD7F
75.0673,-12.6376,30.4175,RAL 1000,Beige verde,#BEBD7F
87.4986,-10.6064,28.8689,RAL 1000,Beige verde,#BEBD7F
62.3975,-7.0882,36.8692,RAL 1000,Beige verde,#BEBD7F
70.6479,-10.2482,25.4123,RAL 1000,Beige verde,#BEBD7F
98.9195,-12.6001,20.7739,RAL 1000,Beige verde,#BEBD7F
80.0531,-5.0955,36.461,RAL 1000,Beige verde,#BEBD7F
88.0182,-8.788,36.2244,RAL 1000,Beige verde,#BEBD7F
70.9109,-16.4215,35.9557,RAL 1000,Beige verde,#BEBD7F
77.005,-17.3257,30.6464,RAL 1000,Beige verde,#BEBD7F
73.4352,-7.159,26.524,RAL 1000,Beige verde,#BEBD7F
73.0108,-14.1101,29.5567,RAL 1000,Beige verde,#BEBD7F
71.6848,-16.7332,32.5931,RAL 1000,Beige verde,#BEBD7F
80.2168,-14.4882,20.7356,RAL 1000,Beige verde,#BEBD7F
67.9604,-8.886,31.8807,RAL 1000,Beige verde,#BEBD7F
81.4814,-1.341,32.3875,RAL 1000,Beige verde,#BEBD7F
81.0962,-11.9424,24.5813,RAL 1000,Beige verde,#BEBD7F
84.1259,-3.5414,32.3112,RAL 1000,Beige verde,#BEBD7F
78.638,-8.5777,39.1382,RAL 1000,Beige verde,#BEBD7F
75.7736,-10.6337,27.5911,RAL 1000,Beige verde,#BEBD7F
75.1226,-9.4848,20.7737,RAL 1000,Beige verde,#BEBD7F
79.7735,-8.2945,33.9577,RAL 1000,Beige verde,#BEBD7F
66.796,4.4752,38.63,RAL 1000,Beige verde,#BEBD7F
68.3802,-24.5229,27.4875,RAL 1000,Beige verde,#BEBD7F
54.1155,-11.2906,32.2242,RAL 1000,Beige verde,#BEBD7F
61.2881,-6.0814,30.6215,RAL 1000,Beige verde,#BEBD7F
87.0753,-7.6474,30.3964,RAL 1000,Beige verde,#BEBD7F
81.5255,-9.0746,34.5945,RAL 1000,Beige verde,#BEBD7F
69.3874,-0.6496,37.5537,RAL 1000,Beige verde,#BEBD7F
57.0442,-16.6752,24.7299,RAL 1000,Beige verde,#BEBD7F
57.074,-11.9943,41.2061,RAL 1000,Beige verde,#BEBD7F
66.8463,-5.0185,37.4483,RAL 1000,Beige verde,#BEBD7F
96.6397,-11.7044,25.0017,RAL 1000,Beige verde,#BEBD7F
81.0916,-9.5057,24.6554,RAL 1000,Beige verde,#BEBD7F
65.2009,-5.0164,41.8508,RAL 1000,Beige verde,#BEBD7F
80.2204,-10.7988,31.8659,RAL 1000,Beige verde,#BEBD7F
66.4792,-12.8815,22.4198,RAL 1000,Beige verde,#BEBD7F
77.1098,-7.2175,35.8688,RAL 1000,Beige verde,#BEBD7F
77.0066,-16.9948,22.726,RAL 1000,Beige verde,#BEBD7F
